id,article,summary,behaviour
11,"(CNN)One hundred and forty-seven victims. Many more families affected. Even more broken hopes and dreams. As Kenyans mourned those killed last week in one of the deadliest terrorist attacks in the nation, citizens used social media to share the victims' stories, hopes and dreams. Using the hashtag #147notjustanumber -- a reference to the number of people, mostly students, killed at Garissa University College on Thursday -- Kenyans tweeted pictures of the victims in happier times. Kenyan authorities have not released a list of the victims. The posts provided heart-wrenching details on the victims, including one about an elderly man whose dreams died with his son. He had reportedly taken a loan to educate him at the university, where he was killed by Al-Shabaab terrorists. The attack in Kenya killed 142 students, three security officers and two university security personnel, and was the nation's deadliest since the bombing of the U.S. Embassy in 1998. Kenyan churches mourned the dead during Easter services Sunday as armed guards protected the congregations. In emotional services nationwide, churchgoers wept as they paid tribute to the victims of the massacre. The gunmen who attacked the university in the predawn hours separated Muslims from Christians and killed the latter. The extremist group has also killed Muslims in recent attacks. The Interior Ministry has identified one of the attackers killed by security forces as the son of a government official. The father of suspect Abdirahim Abdullahi is a chief in Mandera and had reported his son missing, officials said. The Islamist extremist group is based in Somalia, but it hasn't confined its terrorism to the nation that shares a border with Kenya. In 2013, militants attacked Nairobi's upscale Westgate Mall, killing nearly 70 people.","Kenya's mourning with social media sharing stories after Garissa attacks. 147 victims mostly students, picture-sharing on #147notjustanumber, heartbreaking posts. Churches cried Easter, armed guards. Al-Shabaab killed Christians, separated from Muslims. Attack in 1998, remember Westgate Mall, like father and son. Son vanished, dad's loss.",fluency
12,"(CNN)The California Public Utilities Commission on Thursday said it is ordering Pacific Gas & Electric Co. to pay a record $1.6 billion penalty for unsafe operation of its gas transmission system, including the pipeline rupture that killed eight people in San Bruno in September 2010. Most of the penalty amounts to forced spending on improving pipeline safety. Of the $1.6 billion, $850 million will go to ""gas transmission pipeline safety infrastructure improvements,"" the commission said. Another $50 million will go toward ""other remedies to enhance pipeline safety,"" according to the commission. ""PG&E failed to uphold the public's trust,"" commission President Michael Picker said. ""The CPUC failed to keep vigilant. Lives were lost. Numerous people were injured. Homes were destroyed. We must do everything we can to ensure that nothing like this happens again."" The company's chief executive officer said in a written statement that PG&E is working to become the safest energy company in the United States. ""Since the 2010 explosion of our natural gas transmission pipeline in San Bruno, we have worked hard to do the right thing for the victims, their families and the community of San Bruno,"" Tony Earley said. ""We are deeply sorry for this tragic event, and we have dedicated ourselves to re-earning the trust of our customers and the communities we serve. The lessons of this tragic event will not be forgotten."" On September 9, 2010, a section of PG&E pipeline exploded in San Bruno, killing eight people and injuring more than 50 others. The blast destroyed 37 homes. PG&E said it has paid more than $500 million in claims to the victims and victims' families in San Bruno, which is just south of San Francisco. The company also said it has already replaced more than 800 miles of pipe, installed new gas leak technology and implemented nine of 12 recommendations from the National Transportation Safety Board. According to its website, PG&E has 5.4 million electric customers and 4.3 million natural gas customers. The Los Angeles Times reported the previous record penalty was a $146 million penalty against Southern California Edison Company in 2008 for falsifying customer and worker safety data. CNN's Jason Hanna contributed to this report.","California Public Utilities Commission hit PG&E with a $1.6 billion fine for unsafe operations leading to a 2010 San Bruno pipeline explosion; $850 million for safety infrastructure, $50 million for more pipeline safety. PG&E replacing pipelines, claimed $500 million paid to victims in San Bruno.",fluency
13,"Boston (CNN)Guilty across the board. But will he face death? After deliberating for 11½ hours, jurors found Dzhokhar Tsarnaev guilty on Wednesday of all 30 counts he faced in the Boston Marathon bombing trial. Seventeen of the 30 counts were capital charges, meaning he is eligible for the death penalty. The trial will next move into a penalty phase, where the jury will hear testimony and arguments from both sides and ultimately be tasked with deciding whether Tsarnaev, 21, will be executed. A look at all of the charges . Jurors will be asked to weigh aggravating factors such as the heinousness of his crimes against mitigating factors such as his family and mental health history, as well as his relative youth. Tsarnaev was 19 at the time of the bombing. The start date of the penalty phase has not yet been set. Since testimony began March 4, federal prosecutors have called 92 witnesses, and the defense just four. It seemed a mismatch from the start. ""He was there,"" Tsarnaev's defense attorney Judy Clarke conceded as the trial opened, but many say the defense strategy always had been to focus on persuading the jury to spare Tsarnaev's life. Tsarnaev lawyer keeps hated criminals off death row . Clarke tried to convince jurors that her client's older brother, 26-year-old Tamerlan Tsarnaev, who died in a shootout with police days after the terror attack, was the instigator of the marathon plot. The younger man, Clarke said, was only following his older brother. After the verdict, CNN legal analyst Paul Callan said Clarke now faces an uphill battle. ""Because No. 1, he (Tsarnaev) is almost functioning as an officer of a military organization attacking the United States -- the claim of course that he's an Islamic radical and that this is almost an army-like attack on civilians. ""And the second thing -- it was so well planned and so callously planned so that civilians would die, so that children would be maimed. And all of this, she has to get around and convince the jury he's not worthy of the death penalty. ""Boy, she's climbing the Mount Everest of death penalty cases in this case,"" Callan said about Clarke. Survivors react to the verdict . Ann O'Neill reported from Boston. Dana Ford reported from Atlanta.","So, Tsarnaev, guilty on all 30 counts, right? Surprisingly, 17 are death penalty eligible. It's intense! This whole penalty phase drama, gonna be wild - weighing his nasty acts vs his age, family history, etc. Clarke says he followed his bro's lead. CNN peeps covered.",fluency
14,"(CNN)Four workers died in a massive oil rig fire that raged for hours off the coast of Mexico Wednesday. Mexican state oil company Pemex said 45 workers were injured in the blaze, which began early Wednesday morning. Two of them are in serious condition, the company said. Authorities evacuated about 300 people from the Abkatun Permanente platform after the fire started, Pemex said. At least 10 boats worked to battle the blaze for hours. The fire had been extinguished by Wednesday night, Pemex said in a Twitter post. The company denied rumors that the platform had collapsed and said there was no oil spill as a result of the fire. The state oil company hasn't said what caused the fire on the platform, which is located in the Gulf of Mexico's Campeche Sound. The fire began in the platform's dehydration and pumping area, Pemex said. CNN's Mayra Cuevas contributed to this report.","Big fire off Mexico's coast on an oil rig, four dead, lots injured, Pemex says two seriously hurt. Hundreds evacuated. Boats fighting the blaze. By night, fire's out, no platform collapse, no oil spill. Mystery cause, started in the dehydration spot. CNN's Cuevas helped report.",fluency
15,"(CNN)Police in India are putting aside their batons in favor of an overhead solution to angry and unruly crowds: pepper-spraying drones. Yashasvi Yadav, Senior Superintendent of police in Lucknow, northern India, told CNN the city's force has bought four drones and is in the process of purchasing one more. ""The drones have been tested in controlled conditions,"" he said. ""They have been very successful and will be used by the Lucknow police whenever there are violent protests or mob attacks."" The miniature aircraft will be fitted with a camera and pepper spray; each drone costs between $9,560 and $19,300, Yadav added. Views on the new measure are mixed, with some concerned about the suppression of freedom of speech -- an already contentious issue in India. Last month, the country failed to enforce a law that would allow authorities to arrest people who post offensive material on social media. Others believe the country could learn from events further afield. Some say this method of crowd control needs regulation too. Questions have also been raised as to why the police are resorting to aggression. ""While I think it is bound to fail if not be another scam in the making, it also shows the mindset of the administration to not use dialogue and mediation to solve problems but use authoritarian and forceful methods,"" photojournalist Chirag Wakaskar in Mumbai told CNN. ""What they could do is start by having video surveillance in sensitive areas and have swifter justice."" Protests are a common occurrence in India, a country with a population of 1.2 billion; Lucknow, the capital of the northern state of Uttar Pradesh, also used drone cameras to monitor crowds at a recent religious festival. As well as being used as a security measure in other cities including Delhi and Mumbai, the unmanned, airborne vehicles have been used in tiger hunts, disaster relief and criminal investigations -- and even pizza deliveries. Reports suggest that the drone surveillance will be officially launched by the Chief Minister of Lucknow, Akhilesh Yadav, later this month. Kunal Sehgal contributed to this report.","Police in India are using drones with pepper spray to control crowds in Lucknow. They bought 4 drones, 1 more coming. Some peoples worry about freedom and aggression. Drones cost a lot, $9,560 to $19,300. They also use them for other stuff like delivery and tiger hunts.",fluency
16,"(CNN)Just as the agency begins to recover from a series of high-profile missteps, the Secret Service is facing yet another scandal. A female employee accused Xavier Morales, a supervisor within the agency, of assault after he made sexual advances at  her, according to The Washington Post. ""The woman told police and agency investigators that Morales, her boss, told her during the party at Capitol City Brewing Company that he was in love with her and would like to have sex with her,"" and later tried to kiss her in the office, according to a report from The Washington Post. During the incident, he ""grabbed her arms when she resisted"" and the two tussled until Morales gave up, sources told the paper. The Post reports that the March 31 party was in celebration of Morales' new assignment as head of the Louisville field office. A Secret Service spokesperson confirms that  Morales was placed on administrative leave and his security clearance was suspended. This incident was first reported on April 2, and Secret Service Director Joe Clancy was briefed that afternoon. Clancy called the allegations ""very disturbing."" ""Any threats or violence that endangers our employees in  the workplace is unacceptable and will not be tolerated,"" he said in a statement. This is just the latest chapter for an organization embroiled in scandal over the past several months. Last month, two top-ranking officials were suspended following an incident at a White House command post during an investigation of a possible bomb. Clancy was not made aware of the episode until five days later. The agency has also faced scrutiny for another lapse in late January when a drone crash-landed on the White House lawn. Secret Service Director Julia Pierson resigned in September after a fence-jumper gained access to the East Room of the White House. Earlier in September, an armed security contractor was allowed to get into an elevator with President Barack Obama during a trip to the Centers for Disease Control and Prevention in Atlanta. An independent report released in December found that the Secret Service is stretched ""beyond its limits,"" needing more training, more staff, and a director from outside its ranks. Clancy, who formally assumed the post in February, is a 27-year veteran of the agency. ""It's going to take time to change some of this culture,"" Clancy said at a House Appropriations Committee hearing last month. ""There's no excuse for this information not to come up the chain. That's going to take time because I'm going to have to build trust with our workforce."" The incident will be further investigated by the Office of the Inspector General.","The secret service got in trouble agin. A boss, Xavier Morales, got suspended cuz he tried hittin on a worker at a party and later tried kissin her at work. They're lookin into it now. Secret service already been in hot water for other stuff recently.",fluency
17,"Marseille, France (CNN)Investigators have collected all the main evidence from the site where Germanwings Flight 9525 crashed, a French national police official told CNN on Saturday. Investigators are not expected to return to the crash site, said Capt. Yves Naffrechoux of the High Mountain Gendarmerie. The plane crashed March 24 in rugged terrain of the Alps about 6 miles (10 kilometers) from the town of Seyne-les-Alpes. ""All the police investigators have left the (Germanwings) crash site,"" he said. ""There is only a private security company ensuring security around the crash site so that no one can go there."" The security firm will guard the site until the remaining debris is collected and taken to secure locations for further analysis, if necessary, he said. The flight data recorder, or ""black box,"" was found Thursday by a member of the recovery team. The cockpit voice recorder was found days after the crash. In addition, out of more than 2,000 DNA samples collected from the crash site, lab workers have isolated 150 DNA profiles, said Brice Robin, Marseilles prosecutor. The crash killed all 150 people on board. Brice Robin, Marseilles prosecutor, said authorities have found 470 personnel effects at the site. That number includes 40 cell phones, though all those were badly damaged. Robin cast doubt that any useful information could be retrieved from those phones, given their condition. Authorities say the flight's co-pilot, Andreas Lubitz, locked the captain out of the cockpit and engineered the plane's demise. Initial tests on the flight data recorder show that Lubitz purposely used the controls to speed up the plane's descent, according to the French air accident investigation agency, the BEA. It also has emerged that Lubitz had battled depression years before he took the controls of Flight 9525 and that he had concealed from his employer recent medical leave notes saying he was unfit for work. Calls for crash avoidance technology . CNN's Margot Haddad reported from Marseille, and Greg Botelho wrote from Atlanta. CNN's Laura Smith-Spark contributed to this report.","Investigators found all the main stuff at the Germanwings crash site, won't go back. Co-pilot Lubitz crashed the plane on purpose. Black box found, 2,000 DNA samples checked, 150 profiles got. Lubitz had depression issues, hid sick notes from job. Total mess, man.",fluency
18,"(CNN)Pardon us, ""Lost"" fans, but April 8 wasn't only your day. Yes, we know the significance of April 8, 2015, and the alignment of 4:23.42 p.m. on that date to everyone obsessed with the hit ABC show, and we heard about the general geek-outs that were occurring. But don't forget, April 8 was also ""Rex Manning Day."" Twitter didn't, paying homage to the 1995 film ""Empire Records"" and the character of Rex Manning, played by the very dreamy Maxwell Caulfield. The movie -- also starring Liv Tyler, Anthony LaPaglia and Renée Zellweger -- centers on an independent record store in Delaware where, on April 8, former pop idol Manning is scheduled to make an in-store appearance. Fret not if you missed it, as we have some other dates made famous by films that you aren't going to want to let pass you by: . April 14 . Their love affair was doomed like two ships passing in the night, but it was so good while it lasted for Jack and Rose in the 1997 blockbuster movie ""Titanic."" The sketch Jack does of his beloved is dated April 14, 1912. The Titanic sank on April 15, 1912. April 25 . Thanks to the 2000 film ""Miss Congeniality,"" we now know that April 25 is the perfect date. Just don't forget to dress accordingly. October 3 . ""Mean Girls Day"" is officially October 3, given that's when Aaron Samuels (OMG, he is so hot!) asks Cady what day it is. Of course, she replies ""It's October 3."" Honestly, any day is a good day to quote the 2004 film. It's so fetch. October 21, 2015 . Buckle up for this one. In the 1989 film ""Back to the Future Part II,"" Marty McFly and the gang travel to October 21, 2015. We hope to be celebrating that in our flying car that we are STILL waiting on, please and thank you.","April 8 was big for ""Lost"" fans, but don't forget it's also “Rex Manning Day” from ""Empire Records."" There's other movie dates too: April 14 (Jack drew Rose in ""Titanic""), April 25 (perfect date in ""Miss Congeniality""), October 3 (""Mean Girls Day""), and October 21, 2015 (from “Back to the Future Part II”).",fluency
19,"(CNN)Boston native Mark Wahlberg will star in a film about the Boston Marathon bombing and the manhunt that followed, Deadline reported Wednesday. Wahlberg's film, to be titled ""Patriots' Day,"" is being produced by CBS Films, which linked to the Deadline article from its website. According to Deadline, Wahlberg is hoping to play Boston Police Commissioner Ed Davis, who retired after the attack in 2013. The film will be told from Davis' point of view. The film will feature material researched and shot by CBS Films' corporate sibling, the CBS News program ""60 Minutes."" Wahlberg is also a producer of the film. ""Patriots' Day"" is the second film related to the Boston bombing to be announced. Fox announced in November that it will be making a film called ""Boston Strong"" about the event.","Boston native Mark Wahlberg will star in a new film and is also one of its producers. The film is being produced by CBS Films, with material from CBS News' ""60 Minutes."" Fox also announced a film called ""Boston Strong"" related to the Boston bombing. ",completeness
20,"New Delhi, India (CNN)Police have arrested four employees of a popular Indian ethnic-wear chain after a minister spotted a security camera overlooking the changing room of one of its stores. Federal education minister Smriti Irani was visiting a FabIndia outlet in the tourist resort state of Goa on Friday when she discovered a surveillance camera pointed at the changing room, police said. Four employees of the store have been arrested, but its manager -- herself a woman -- was still at large Saturday, said Goa police superintendent Kartik Kashyap. State authorities launched their investigation right after Irani levied her accusation. They found an overhead camera that the minister had spotted and determined that it was indeed able to take photos of customers using the store's changing room, according to Kashyap. After the incident, authorities sealed off the store and summoned six top officials from FabIndia, he said. The arrested staff have been charged with voyeurism and breach of privacy, according to the police. If convicted, they could spend up to three years in jail, Kashyap said. Officials from FabIndia -- which sells ethnic garments, fabrics and other products -- are heading to Goa to work with investigators, according to the company. ""FabIndia is deeply concerned and shocked at this allegation,"" the company said in a statement. ""We are in the process of investigating this internally and will be cooperating fully with the police.""","
Four employees from an Indian ethnic-wear chain were arrested after an incident involving a camera at a Goa store. The company is cooperating with the investigation. ",completeness
21,"(CNN)Nine British citizens were arrested in Turkey on Wednesday, suspected of trying to cross illegally into Syria, the Turkish military said on its website. The group included four children -- the oldest being 10 or 11, with the youngest born in 2013, a Turkish official told CNN on condition of anonymity. The nine were arrested at the Turkey-Syria border, the Turkish military said. It didn't say why the group allegedly was trying to get into Syria, which has been torn by a roughly four-year war between Syrian government forces and Islamist extremist groups and other rebels. Among the war's combatants is ISIS, which has taken over parts of Syria and Iraq for what it claims is its Islamic caliphate, and which is known to have been recruiting Westerners. Accompanying the children were three men and two women; all nine had British passports, the Turkish official said. UK police charge man with terror offenses after Turkey trip . The British Foreign Office said Wednesday that it is aware of reports of the arrests and that it is seeking information about the incident from Turkish authorities. CNN's Gul Tuysuz reported from Istanbul, and Elaine Ly reported from London. CNN's Jason Hanna contributed to this report.","The British Foreign Office is seeking information about a group of individuals with British passports arrested in Turkey. The group, which included children, was trying to cross a border. Reports were contributed by multiple CNN journalists.",completeness
22,"(CNN)A nuclear submarine being repaired at a Russian shipyard has caught on fire, according to a law enforcement source speaking to Russia's state-run news agency ITAR-Tass. ""The submarine is in a dry dock,"" Tass reports, citing the source, and there is no ammunition on board. ""The rubber insulation between the submarine's light and pressure hull is on fire,"" Tass reported. Russia's RIA Novosti news agency says insulation caught on fire as welding work was being done on the submarine. Tass reported that the fire began on a sub in the Zvyozdochka shipyard in northwestern Russia. Zvyozdochka spokesman Yevgeny Gladyshev told the news agency that the sub had been undergoing repairs since November 2013. ""Nuclear fuel from the sub's reactor has been unloaded,"" he reportedly said. ""There are no armaments or chemically active, dangerous substances, fissionable materials on it,"" Gladyshev said to Tass. ""The enterprise's personnel left the premises when the submarine caught fire, no one has been injured. The fire presents no threat to people and the shipyard.""",A submarine caught on fire due to rubber insulation igniting during welding work. The submarine has been under repairs since November 2013. No injuries were reported and the submarine posed no threat to people or the shipyard.,completeness
23,"(CNN)Kayahan, one of Turkey's best-loved singers and songwriters, died of cancer Friday at the age of 66. He had performed most recently in Istanbul on Valentine's Day. The performer, who was also an accomplished guitarist, was first diagnosed with cancer in 1990, the year he competed in the Eurovision Song Contest, and the year before he released the album that ignited his career. The cancer returned in 2005 and then again in 2014, Turkey's semiofficial Anadolu Agency reported. He died Friday in a hospital in Istanbul, five days after his 66th birthday. ""We are in grief over losing Kayahan, who contributed to Turkish music with countless compositions and marked a generation with his songs,"" Prime Minister Ahmet Davutoglu tweeted. The singer, whose full name was Kayahan Acar, was born in Izmir province, in western Turkey on March 29, 1949. He grew up in Ankara, Turkey's capital, before moving to Istanbul. In 1990, he competed in the Eurovision Song Contest, finishing 17th. The following year he released an album titled ""I Made a Vow,"" which catapulted him to prominence. Though he recorded nearly 20 albums, that one would remain his most popular. His final album was released in 2007. Other artists recorded his material throughout his career. Videos available online show a vibrant performer with a thick shock of dark hair as he accompanies himself on guitar and croons in a clear tenor. Kayahan was best known for his love songs. More recent videos show a  frailer performer, seated and without a guitar, but still clearly glorying in the joy of singing a song.","Kayahan passed away on Friday. He last performed in Istanbul on Valentine's Day. Known for his love songs, he appeared vibrant in earlier videos but frailer in later performances. Born in Izmir, he grew up in Ankara. Artists frequently covered his songs.",completeness
24,"(CNN)A French-language global television network regained control of one of its 11 channels Thursday after a cyberattack a day earlier crippled its broadcasts and social media accounts. Television network TV5Monde was gradually regaining control of its channels and social media outlets after suffering what the network's director called an ""extremely powerful cyberattack."" In addition to its 11 channels, TV5Monde lost control of its social media outlets and its websites, director Yves Bigot said in a video message posted later on Facebook. On a mobile site, which was still active, the network said it was ""hacked by an Islamist group."" ISIS logos and markings appeared on  TV5Monde social media accounts. But there was no immediate claim of responsibility by ISIS or any other group. As day broke Thursday in Europe, the network had regained the use of one of its 11 channels and its Facebook page, Paul Germain, the chain's editor in chief, told BFMTV, a CNN affiliate in France. However, by late morning, a number of pages on the network's website had messages saying they were under maintenance. The outage began around 8:45 p.m. Paris time (2:45 p.m. ET) on Wednesday. TV5Monde offers round-the-clock entertainment and news programming that reaches 260 million homes worldwide, according to the Ministry of Culture and Communications. It functions under a partnership among the governments of France, Canada and Switzerland, as well as the Wallonia-Brussels Federation. Other networks that provide content to TV5Monde include CNN affiliates France 2 and France 3, France 24 and Radio France International.","TV5Monde, a French TV network, briefly regained control of its broadcasts and social media following a severe cyberattack, which saw ISIS logos appear on their platforms.",completeness
25,"(CNN)A mammoth fire broke out Friday morning in a Kentucky industrial park, sending plumes of thick smoke over the area as authorities worked to contain the damage. The blaze began shortly before 7 a.m. at the General Electric Appliance Park in Louisville, according to Mike Weimer from the city's emergency management agency. He said that there were no reports of anyone injured or trapped. Video showed both smoke and bright orange flames. Firefighters took up positions around the affected buildings, spraying water from the periphery. Weimer told CNN that authorities didn't know what had caused the fire, which had gone to at least four alarms. According to a GE website, its facility in the Louisville Appliance Park is ""revitalizing manufacturing in the United States."" The park is large, such that 34 football fields could fit in one of its warehouses in the facility.","
General Electric Appliance Park in Louisville, Kentucky, is a massive facility with warehouses large enough to fit 34 football fields. It claims to be revitalizing US manufacturing.",completeness
26,"(CNN)Sky watchers in western North America are in for a treat: a nearly five-minute total lunar eclipse this morning. Here's how it's unfolding: . It started at 3:16 a.m. Pacific Daylight Time, when the moon began moving into Earth's shadow.  For the next hour and 45 minutes, that shadow will move across the moon and engulf it at 4:58 a.m. Pacific Time. The total eclipse will only last four minutes and 43 seconds, and NASA says that makes it the shortest one of the century. Watch it live on NASA TV . While people west of the Mississippi River will have the best view, at least a partial eclipse will be visible across the nation. But sunrise will interrupt the show on the East Coast. Parts of South America, India, China and Russia also will be able to see the eclipse, but it won't be visible in Greenland, Iceland, Europe, Africa or the Middle East. A lunar eclipse happens when the sun, Earth and moon form a straight line in space, with the Earth smack in the middle. The sun shines on the Earth and creates a shadow. As the moon moves deeper into that shadow, it appears to turn dark and may even appear to be a reddish color.  Why red? Because Earth's atmosphere is filtering out most of the blue light. Some people have nicknamed the effect the ""blood moon."" NASA says lunar eclipses typically happen at least twice a year, but this eclipse is the third in a series of four in a row, known as a ""tetrad.""  The first was on April 15, 2014. The second was in September 2014, the next is Saturday and there will be one more, on September 28. If you want to learn more about the eclipse, NASA astronomer Mitzi Adams will take questions on Twitter @NASA_Marshall. Did you see the total lunar eclipse? Share your photos with CNN iReport.","Sky watchers in western North America can enjoy a rare celestial event: a nearly five-minute total lunar eclipse, occurring early this morning. The eclipse began at 3:16 a.m. Pacific Daylight Time as the moon started moving into Earth's shadow, and the total eclipse—lasting only four minutes and 43 seconds, making it the shortest of the century—occurred at 4:58 a.m. Pacific Time. While the best views were available west of the Mississippi River, a partial eclipse could be seen across the nation, although sunrise interrupted views on the East Coast. Additionally, parts of South America, India, China, and Russia witnessed the eclipse, but it wasn't visible in Greenland, Iceland, Europe, Africa, or the Middle East. The phenomenon occurs when the sun, Earth, and moon align, with Earth casting a shadow on the moon, potentially giving it a reddish hue, an effect dubbed the ""blood moon."" This eclipse is the third in a ""tetrad,"" a series of four consecutive total lunar eclipses, with the final one scheduled for September 28. Sky watchers were encouraged to share photos through CNN iReport.",brevity
27,"(CNN)A high temperature of 63.5 degrees Fahrenheit might sound like a pleasant day in early spring -- unless you're in Antarctica. The chilly continent recorded the temperature (15.5 degrees Celsius) on March 24, possibly the highest ever recorded on Antarctica, according to the Weather Underground. The temperature was recorded at Argentina's Esperanza Base on the northern tip of the Antarctica Peninsula, according to CNN affiliate WTNH. (Note to map lovers: The Argentine base is not geographically part of the South American continent.) The World Meteorological Organization, a specialized United Nations agency, is in the process of setting up an international ad-hoc committee of about 10 blue-ribbon climatologists and meteorologists to begin collecting relevant evidence, said Randy Cerveny, the agency's lead rapporteur of weather and climate extremes and Arizona State University professor of geographical sciences. The committee will examine the equipment used to measure the temperature, whether it was in good working order, whether the correct monitoring procedures were followed, whether the equipment was placed in the correct location and whether the measurement is matched by corresponding records from surrounding stations, Cerveny said. The committee will discuss the issues and make a recommendation to Cerveny, who will make an official finding, probably by late summer or early fall. Researchers who study climate change carefully watch weather changes in the Antarctic region and elsewhere for evidence that the Earth is getting warmer.","Antarctica recorded a high temperature of 63.5 degrees Fahrenheit (15.5 degrees Celsius) on March 24, potentially the highest ever in the region, according to Weather Underground. This temperature was recorded at Argentina's Esperanza Base on the northern tip of the Antarctic Peninsula. The World Meteorological Organization, a UN specialized agency, is forming a committee of about 10 experts to validate this record. This group will assess the equipment and methods used for the measurement, ensuring they were accurate and consistent with nearby stations, as revealed by Randy Cerveny, the lead rapporteur on weather extremes. The findings will likely be concluded by late summer or early fall. This event is of particular interest to researchers who monitor climate change and its effects in Antarctica and globally.",brevity
28,"Atlanta (CNN)Robert Lewis Burns Jr., the original drummer in Southern rock band Lynyrd Skynyrd, died Friday night in a car crash, a Georgia State Patrol spokesman said. Burns, 64, died after his car hit a mailbox and a tree in Cartersville, spokesman James Tallent said. No other cars were involved in the crash, which occurred shortly before midnight. ""He was not restrained at the time of the crash,"" Tallent told CNN. The musician lived in northern Georgia. Burns was part of the genre-defining band's original lineup, which formed in Jacksonville, Florida, in 1965. Lead singer Ronnie Van Zant started Noble Five with Burns, guitarists Gary Rossington and Allen Collins and bassist Larry Junstrom in their hometown. It then made a name change in a reference to a high school gym teacher. Lynyrd Skynyrd changed members over the years as it produced rock anthems including ""Sweet Home Alabama"" and ""Freebird."" Burns left the band before its third studio album, ""Nuthin Fancy,"" in 1975, ""exhausted by touring,"" according to the band's Rock and Roll Hall of Fame biography. He was not involved in the 1977 plane crash that killed three members, including Van Zant. The band was inducted into the Rock and Roll Hall of Fame in 2006. Lynyrd Skynyrd still tours with Rossington, the only original member still in the band. ""Today I'm at a loss for words but I just remember Bob being a funny guy,"" Rossington said on the band's official Facebook page. ""My heart goes out to his family and God bless him and them in this sad time. He was a great great drummer."" People we've lost in 2015 .","Robert Lewis Burns Jr., the original drummer of the Southern rock band Lynyrd Skynyrd, died in a car crash on Friday night at the age of 64. The accident occurred in Cartersville, Georgia, when his car hit a mailbox and a tree. Burns was not wearing a seatbelt at the time of the crash, and no other vehicles were involved. Burns was part of the band's original lineup formed in 1965 in Jacksonville, Florida. He played with the band as they achieved fame with hits like ""Sweet Home Alabama"" and ""Freebird"" but left before their third studio album in 1975, due to exhaustion from touring. He was not involved in the 1977 plane crash that killed three band members. Lynyrd Skynyrd was inducted into the Rock and Roll Hall of Fame in 2006, and the band continues to tour with Gary Rossington as the only remaining original member. Rossington expressed his sorrow on Facebook, remembering Burns as a funny and great drummer.",brevity
29,"(CNN)Imprisoned soldier Chelsea Manning can now communicate with the world  -- in 140 characters or less. Manning, who is serving a 35-year prison sentence for leaking thousands of classified documents, appears to have joined Twitter this week. In a series of tweets, the prisoner formerly known as Bradley Manning said she will be using a voice phone to dictate her tweets to  communications firm Fitzgibbon Media, which will post them on her behalf. She is not allowed Internet access in prison, according to The Guardian. ""It will be hard, but I don't want this Twitter feed to be a one-way street/conversation,"" Manning posted to her nearly 26,000-plus followers. Manning was sentenced in 2013, and in August of that year, she said she wanted to transition to a female. The Fort Leavenworth Disciplinary Barracks in Kansas, where she is serving her sentence, has authorized hormone therapy for her treatment. Manning said she suffers from gender dysphoria. Her  lawyers describe it as ""the medical diagnosis given to individuals whose gender identity -- their innate sense of being male or female -- differs from the sex they were assigned at birth, causing clinically significant distress."" Last year, a Kansas judge granted her request to be formally known as Chelsea Elizabeth Manning. The former Army intelligence analyst was convicted of stealing and disseminating 750,000 pages of documents and videos to WikiLeaks in what has been described as the largest leak of classified material in U.S. history. She was found guilty of 20 of the 22 charges, including violations of the U.S. Espionage Act. Manning has written opinion pieces for The New York Times and The Guardian from prison.","Imprisoned soldier Chelsea Manning, serving a 35-year sentence for leaking classified documents, has joined Twitter to communicate with the outside world. Unable to access the internet from Fort Leavenworth prison, Manning will dictate tweets via a voice phone to Fitzgibbon Media, who will post them on her behalf. She aims to keep the conversations interactive with her 26,000-plus followers. Manning, previously known as Bradley Manning, was convicted in 2013 for unlawfully distributing around 750,000 classified documents to WikiLeaks, marking the largest leak of classified material in U.S. history. She was found guilty on 20 out of 22 charges, including violations under the U.S. Espionage Act. Manning has undergone hormone therapy for gender dysphoria and legally changed her name to Chelsea Elizabeth Manning in 2014. She has continued to express her views through opinion pieces in publications like The New York Times and The Guardian.",brevity
30,"(CNN)Deion Sanders is such a dad. The NFL legend called out Deion Sanders Jr. on Twitter for saying he only eats ""hood doughnuts."" In response, the elder Sanders -- in front of his 912,000 followers -- reminded his son he has a trust fund, a condo and his own clothing line called ""Well Off."" ""You're a Huxtable with a million $ trust fund. Stop the hood stuff!"" Sanders followed it up with another tweet that included the hashtags #versacesheets #Huxtable and #Trustfund. Junior is a wide receiver at Southern Methodist University, an aspiring entrepreneur and occasional rapper. His Twitter timeline is a mix of biblical verses, motivational quotes and references to sports, cars, school and Balenciaga shoes. He also has gone on record with his love for ""hood doughnuts,"" or confections from ""a place in the hood,"" saying ""if my doughnuts don't come in a plain white box, I don't want them!"" His father promptly put him in his place. Sanders Jr. seemed to take the public browbeating in stride, retweeting his father's comments. At least he knew better than to delete them.","Deion Sanders, the NFL legend, publicly chided his son, Deion Sanders Jr., on Twitter for claiming he only eats ""hood doughnuts."" The elder Sanders, showcasing the interaction to his 912,000 followers, reminded his son that he leads a privileged life with a trust fund, a condo, and his own clothing line, ""Well Off."" Sanders humorously added hashtags like #versacesheets #Huxtable and #Trustfund, highlighting the contrast between his son's claims and reality. Sanders Jr., a wide receiver at Southern Methodist University, mixes entrepreneurial aspirations with interests like biblical verses and luxury fashion in his social media presence. Despite his father's reprimand, Sanders Jr. appeared to take it humorously, retweeting his father's remarks rather than deleting them.",brevity
